feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank,stability,rank_std_across_folds,fold_count,outcome_correlation,mean_shap,value_shap_corr,direction,method_agreement,methods_available,confidence,engineering_verdict,verdict_reason
home_bat_woba,27.106670379638672,12,-0.0001962215093434,10,0.0026347875474414,14,-0.000544,-0.004272,17,13.25,0.2237,14.361,4,0.0714,,,UNKNOWN,0.8386,4,Medium,INVESTIGATE,"rank stability 0.2237 < 0.5 across 4 walk-forward folds (fold ranks [7, 37, 7, 12]), mean_rank 13.25/38, agreement Medium"
away_bat_k_rate,24.075209617614743,13,-0.0002537205736646,8,0.0029220008527311,13,-0.00052,-0.007838,19,13.25,0.7733,4.193,4,0.0852,,,UNKNOWN,0.7568,4,Medium,KEEP,"mean_rank 13.25/38, stability 0.7733, agreement Medium, walk-forward ablation delta -0.000520"
away_L10_ra,10.822799682617188,20,0.0001164753493393,15,0.002459101511774,15,0.001487,-0.023077,4,13.5,0.1862,15.055,4,0.0738,,,UNKNOWN,0.6347,4,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.001487 when this feature was dropped, mean_rank 13.5/38, stability 0.1862, agreement Low"
away_bat_iso,7.24153995513916,23,-0.0001409975461519,11,0.001530465422134,18,-0.001032,-0.00136,9,15.25,0.5026,9.201,4,-0.0334,,,UNKNOWN,0.6514,4,Medium,KEEP,"mean_rank 15.25/38, stability 0.5026, agreement Medium, walk-forward ablation delta -0.001032"
away_L10_wr,17.745710372924805,14,7.475768696098006e-05,16,0.0013701107398073,20,0.000887,-0.014397,14,16.0,0.3127,12.715,4,-0.0316,,,UNKNOWN,0.8471,4,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000887 when this feature was dropped, mean_rank 16.0/38, stability 0.3127, agreement Medium"
home_L10_wr,7.289389848709106,22,0.00011648181439,14,0.0008761560706093,26,-0.001038,-0.002285,8,17.5,0.8713,2.38,4,0.0614,,,UNKNOWN,0.5642,4,Low,KEEP,"mean_rank 17.5/38, stability 0.8713, agreement Low, walk-forward ablation delta -0.001038"
away_bb_rate,16.76835060119629,15,4.143515359710248e-05,21,0.0034098234950311,11,-0.000442,-0.004918,24,17.75,0.4229,10.677,4,0.0294,,,UNKNOWN,0.6837,4,Medium,INVESTIGATE,"rank stability 0.4229 < 0.5 across 4 walk-forward folds (fold ranks [34, 15, 18, 9]), mean_rank 17.75/38, agreement Medium"
away_L10_rs,28.559260368347168,11,0.0001392047989939,12,0.0030205074819012,12,3.5e-05,-0.005738,37,18.0,0.8801,2.217,4,-0.021,,,UNKNOWN,0.3148,4,Low,KEEP,"mean_rank 18.0/38, stability 0.8801, agreement Low, walk-forward ablation delta +0.000035"
park_factor,15.091639995574951,17,-0.0002125479950352,9,0.0015871962381678,17,-0.000276,0.000924,32,18.75,0.3058,12.842,4,-0.0668,,,UNKNOWN,0.4808,4,Low,INVESTIGATE,"rank stability 0.3058 < 0.5 across 4 walk-forward folds (fold ranks [29, 34, 5, 27]), mean_rank 18.75/38, agreement Low"
home_k_rate,8.399589538574219,21,7.05312753023546e-05,17,0.0014371952402089,19,-0.000458,-0.005679,22,19.75,0.5645,8.057,4,0.0112,,,UNKNOWN,0.8801,4,High,KEEP,"mean_rank 19.75/38, stability 0.5645, agreement High, walk-forward ablation delta -0.000458"
away_xwoba_against,16.08775043487549,16,-0.0001254209117605,13,0.0018691690935011,16,-0.000149,-0.007931,34,19.75,0.1213,16.256,4,0.0683,,,UNKNOWN,0.4808,4,Low,RE-ENCODE,"point-biserial correlation with outcome +0.0683 exceeds 0.05 but mean_rank 19.75/38 sits below the median, so the raw encoding carries signal the model is not extracting (ablation delta -0.000149)"
temp_f,31.402390480041504,10,-2.169493667666389e-05,27,0.0013028681230917,21,0.000386,-0.013681,30,22.0,0.3243,12.5,4,0.0109,,,UNKNOWN,0.5226,4,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000386 when this feature was dropped, mean_rank 22.0/38, stability 0.3243, agreement Low"
home_bb_rate,5.235390186309815,27,-3.398911925511783e-05,24,0.001105981212527,23,-0.000711,-0.002041,16,22.5,0.3583,11.871,4,-0.0462,,,UNKNOWN,0.7484,4,Medium,INVESTIGATE,"rank stability 0.3583 < 0.5 across 4 walk-forward folds (fold ranks [11, 9, 35, 16]), mean_rank 22.5/38, agreement Medium"
away_fb_velo,5.792210102081299,26,6.627760280220052e-05,18,0.0011620947577472,22,-0.000395,-0.007499,26,23.0,0.4941,9.359,4,-0.0184,,,UNKNOWN,0.793,4,Medium,INVESTIGATE,"rank stability 0.4941 < 0.5 across 4 walk-forward folds (fold ranks [17, 16, 10, 32]), mean_rank 23.0/38, agreement Medium"
home_hr_rate,14.790740251541138,18,-3.48261320401666e-05,23,0.0005358524497564,27,-0.00041,-0.005614,25,23.25,0.8386,2.986,4,-0.0083,,,UNKNOWN,0.7912,4,Medium,KEEP,"mean_rank 23.25/38, stability 0.8386, agreement Medium, walk-forward ablation delta -0.000410"
home_hard_hit_pct,6.508260011672974,25,3.1034423672782195e-05,25,0.0010409274409759,25,-0.000517,-0.004782,20,23.75,0.7912,3.862,4,0.0022,,,UNKNOWN,0.8649,4,High,KEEP,"mean_rank 23.75/38, stability 0.7912, agreement High, walk-forward ablation delta -0.000517"
home_fip,7.004889845848084,24,-4.614489224696872e-05,20,0.0010881415265235,24,-0.000394,-0.004887,27,23.75,0.5781,7.805,4,-0.0392,,,UNKNOWN,0.8447,4,Medium,KEEP,"mean_rank 23.75/38, stability 0.5781, agreement Medium, walk-forward ablation delta -0.000394"
away_hr_rate,4.117109775543213,28,-2.9690080555822008e-05,26,0.000225652336818,28,-0.000522,-0.003005,18,25.0,0.5578,8.18,4,0.0125,,,UNKNOWN,0.7427,4,Medium,KEEP,"mean_rank 25.0/38, stability 0.5578, agreement Medium, walk-forward ablation delta -0.000522"
away_fip,0.0,32,0.0,32,0.0,32,-0.00112,0.004952,6,25.5,0.2415,14.033,4,0.0343,,,UNKNOWN,0.2973,4,Low,INVESTIGATE,"rank stability 0.2415 < 0.5 across 4 walk-forward folds (fold ranks [6, 36, 20, 7]), mean_rank 25.5/38, agreement Low"
away_bat_hard_hit_pct,0.0,35,0.0,35,0.0,35,0.002362,-0.023515,2,26.75,0.1808,15.155,4,-0.023,,,UNKNOWN,0.1081,4,Low,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.002362 when this feature was dropped, mean_rank 26.75/38, stability 0.1808, agreement Low"
home_xwoba_against,0.0,29,0.0,29,0.0,29,-0.000512,-0.002911,21,27.0,0.4642,9.912,4,-0.041,,,UNKNOWN,0.7838,4,Medium,INVESTIGATE,"rank stability 0.4642 < 0.5 across 4 walk-forward folds (fold ranks [33, 12, 32, 30]), mean_rank 27.0/38, agreement Medium"
away_is_lefty,0.0,33,0.0,33,0.0,33,-0.000938,0.000142,12,27.75,0.8511,2.754,4,0.0166,,,UNKNOWN,0.4324,4,Low,KEEP,"mean_rank 27.75/38, stability 0.8511, agreement Low, walk-forward ablation delta -0.000938"
away_days_rest,0.0,34,0.0,34,0.0,34,-0.000938,0.000142,13,28.75,0.8511,2.754,4,0.0084,,,UNKNOWN,0.4324,4,Low,KEEP,"mean_rank 28.75/38, stability 0.8511, agreement Low, walk-forward ablation delta -0.000938"
home_is_lefty,0.0,30,0.0,30,0.0,30,-0.000394,-0.004887,28,29.5,0.8409,2.944,4,0.0182,,,UNKNOWN,0.9459,4,High,REMOVE,"mean_rank 29.5/38 is bottom-25%, stability 0.8409 ≥ 0.7, method agreement High, and a real walk-forward ablation retrain over 4 folds changed log loss by -0.000394 (no regression)"
home_L10_rs,0.0,36,0.0,36,0.0,36,-0.000987,-0.00559,11,29.75,0.2933,13.074,4,0.0395,,,UNKNOWN,0.3243,4,Low,INVESTIGATE,"rank stability 0.2933 < 0.5 across 4 walk-forward folds (fold ranks [4, 29, 27, 33]), mean_rank 29.75/38, agreement Low"
home_days_rest,0.0,31,0.0,31,0.0,31,-0.000394,-0.004887,29,30.5,0.8409,2.944,4,0.0067,,,UNKNOWN,0.9459,4,High,REMOVE,"mean_rank 30.5/38 is bottom-25%, stability 0.8409 ≥ 0.7, method agreement High, and a real walk-forward ablation retrain over 4 folds changed log loss by -0.000394 (no regression)"
is_dome,0.0,37,0.0,37,0.0,37,0.000362,-0.009273,31,35.5,0.8713,2.38,4,0.0427,,,UNKNOWN,0.8378,4,Medium,KEEP,"walk-forward ablation over 4 folds regressed log loss by +0.000362 when this feature was dropped, mean_rank 35.5/38, stability 0.8713, agreement Medium"
is_coors,0.0,38,0.0,38,0.0,38,0.0,0.0,38,38.0,0.8713,2.38,4,-0.0713,,,UNKNOWN,1.0,4,High,REMOVE,"mean_rank 38.0/38 is bottom-25%, stability 0.8713 ≥ 0.7, method agreement High, and a real walk-forward ablation retrain over 4 folds changed log loss by +0.000000 (no regression)"
