precision,recall,threshold
0.4906,0.6257,0.4417
0.4894,0.6228,0.4419
0.4882,0.6198,0.4421
0.4894,0.6198,0.4423
0.4905,0.6198,0.4423
0.4917,0.6198,0.4424
0.4905,0.6168,0.4426
0.4916,0.6168,0.443
0.4928,0.6168,0.4431
0.494,0.6168,0.4439
0.4952,0.6168,0.4443
0.494,0.6138,0.4448
0.4952,0.6138,0.4459
0.4939,0.6108,0.446
0.4951,0.6108,0.4462
0.4939,0.6078,0.4462
0.4951,0.6078,0.4463
0.4963,0.6078,0.4465
0.4951,0.6048,0.4468
0.4939,0.6018,0.4473
0.4951,0.6018,0.4475
0.4963,0.6018,0.4476
0.4975,0.6018,0.4478
0.4963,0.5988,0.4481
0.495,0.5958,0.4485
0.4963,0.5958,0.4493
0.4975,0.5958,0.4495
0.4962,0.5928,0.4502
0.495,0.5898,0.4503
0.4962,0.5898,0.4504
0.4975,0.5898,0.4504
0.4962,0.5868,0.4514
0.4949,0.5838,0.4514
0.4962,0.5838,0.4515
0.4949,0.5808,0.4526
0.4962,0.5808,0.4528
0.4949,0.5778,0.4529
0.4936,0.5749,0.4529
0.4948,0.5749,0.4531
0.4961,0.5749,0.4535
0.4974,0.5749,0.4536
0.4987,0.5749,0.4538
0.5,0.5749,0.454
0.4987,0.5719,0.454
0.4974,0.5689,0.4541
0.4961,0.5659,0.4546
0.4947,0.5629,0.4548
0.496,0.5629,0.4551
0.4947,0.5599,0.4552
0.496,0.5599,0.4553
0.4947,0.5569,0.4558
0.496,0.5569,0.4559
0.4947,0.5539,0.456
0.4933,0.5509,0.4561
0.4946,0.5509,0.4572
0.496,0.5509,0.4573
0.4946,0.5479,0.4574
0.4932,0.5449,0.4575
0.4918,0.5419,0.4575
0.4905,0.5389,0.4579
0.4891,0.5359,0.458
0.4904,0.5359,0.4581
0.489,0.5329,0.4582
0.4904,0.5329,0.4582
0.489,0.5299,0.4583
0.4903,0.5299,0.4584
0.4917,0.5299,0.4584
0.4903,0.5269,0.4589
0.4916,0.5269,0.4591
0.493,0.5269,0.4591
0.4916,0.524,0.4594
0.493,0.524,0.4594
0.4944,0.524,0.4598
0.4929,0.521,0.4599
0.4915,0.518,0.4603
0.4929,0.518,0.4606
0.4943,0.518,0.4606
0.4928,0.515,0.4607
0.4943,0.515,0.4609
0.4957,0.515,0.4613
0.4942,0.512,0.4616
0.4957,0.512,0.4617
0.4971,0.512,0.4621
0.4956,0.509,0.4625
0.4942,0.506,0.4627
0.4927,0.503,0.463
0.4941,0.503,0.4633
0.4956,0.503,0.4636
0.4941,0.5,0.4638
0.4926,0.497,0.4638
0.4911,0.494,0.4639
0.4896,0.491,0.4642
0.491,0.491,0.4642
0.4895,0.488,0.4648
0.488,0.485,0.465
0.4894,0.485,0.4651
0.4879,0.482,0.4651
0.4863,0.479,0.4653
0.4878,0.479,0.4653
0.4893,0.479,0.4656
0.4908,0.479,0.4667
0.4892,0.476,0.4676
0.4907,0.476,0.4688
0.4923,0.476,0.4695
0.4907,0.4731,0.4695
0.4891,0.4701,0.4696
0.4906,0.4701,0.4702
0.489,0.4671,0.4708
0.4874,0.4641,0.4713
0.489,0.4641,0.4715
0.4905,0.4641,0.4716
0.4921,0.4641,0.4718
0.4936,0.4641,0.4718
0.4952,0.4641,0.472
0.4936,0.4611,0.4725
0.492,0.4581,0.4727
0.4903,0.4551,0.4728
0.4919,0.4551,0.4731
0.4903,0.4521,0.4736
0.4919,0.4521,0.4738
0.4935,0.4521,0.474
0.4918,0.4491,0.4749
0.4934,0.4491,0.4749
0.495,0.4491,0.4753
0.4934,0.4461,0.4754
0.4917,0.4431,0.4755
0.4933,0.4431,0.4757
0.495,0.4431,0.476
0.4933,0.4401,0.4761
0.4949,0.4401,0.4767
0.4966,0.4401,0.4768
0.4949,0.4371,0.4771
0.4966,0.4371,0.4771
0.4949,0.4341,0.4773
0.4932,0.4311,0.4777
