fpr,tpr,threshold
0.795,0.8473,0.3862
0.795,0.8563,0.3849
0.8025,0.8563,0.3807
0.8025,0.8623,0.3799
0.805,0.8623,0.3798
0.805,0.8653,0.3796
0.8075,0.8653,0.3795
0.8075,0.8713,0.3787
0.84,0.8713,0.3708
0.84,0.8743,0.3707
0.8475,0.8743,0.3696
0.8475,0.8772,0.3695
0.8575,0.8772,0.3686
0.8575,0.8832,0.367
0.86,0.8832,0.3668
0.86,0.8892,0.3641
0.87,0.8892,0.3601
0.87,0.8922,0.3587
0.8725,0.8922,0.3584
0.8725,0.8952,0.3581
0.875,0.8952,0.3578
0.875,0.8982,0.3569
0.8775,0.8982,0.3566
0.8775,0.9012,0.356
0.88,0.9012,0.3559
0.88,0.9042,0.3543
0.8825,0.9042,0.3541
0.8825,0.9072,0.3522
0.885,0.9072,0.351
0.885,0.9132,0.3506
0.895,0.9132,0.35
0.895,0.9162,0.3498
0.8975,0.9162,0.3497
0.8975,0.9281,0.3464
0.9,0.9281,0.3457
0.9,0.9311,0.3453
0.905,0.9311,0.3446
0.905,0.9371,0.342
0.9075,0.9371,0.342
0.9075,0.9401,0.3402
0.9175,0.9401,0.3366
0.9175,0.9431,0.3362
0.92,0.9431,0.336
0.92,0.9461,0.335
0.94,0.9461,0.3271
0.94,0.9551,0.321
0.9425,0.9551,0.3185
0.9425,0.9581,0.3185
0.945,0.9581,0.3179
0.945,0.9611,0.3178
0.9575,0.9611,0.316
0.9575,0.9641,0.3159
0.9625,0.9641,0.3142
0.9625,0.9731,0.3085
0.965,0.9731,0.3072
0.965,0.979,0.3004
0.9675,0.979,0.2999
0.9675,0.988,0.294
0.9775,0.988,0.2867
0.9775,0.991,0.2864
0.99,0.991,0.2717
0.99,0.997,0.2678
0.995,0.997,0.2605
0.995,1.0,0.254
1.0,1.0,0.1996
