feature,verdict,permutation_logloss_gain,lofo_logloss_delta,stability,target_correlation,max_redundancy,mean_abs_shap,evidence
away_moneyline_implied,INVESTIGATE,-0.00011535814827642876,0.00013194104136435292,0.25,0.006420546690305802,0.9991199710969044,0.0010522668708737514,permutation_logloss_gain=-0.000115; LOFO_logloss_delta=+0.000132; positive_fold_fraction=0.25; target_corr=+0.0064; max_redundancy=0.9991
away_strikeouts_30g,KEEP,8.182057350101617e-05,3.243324958734917e-05,0.75,0.005561451173744761,0.7801765738291094,0.0006669394374595371,permutation_logloss_gain=+0.000082; LOFO_logloss_delta=+0.000032; positive_fold_fraction=0.75; target_corr=+0.0056; max_redundancy=0.7802
home_runs_allowed_10g,KEEP,6.532860137867247e-05,0.00023744432343486555,0.5,0.010991676172542363,0.751552174322773,0.001495012024045765,permutation_logloss_gain=+0.000065; LOFO_logloss_delta=+0.000237; positive_fold_fraction=0.50; target_corr=+0.0110; max_redundancy=0.7516
home_strikeouts_30g,KEEP,5.8837204958389615e-05,4.724902868655234e-05,0.5,0.004236883338003814,0.7840462261430741,0.0006002120517505114,permutation_logloss_gain=+0.000059; LOFO_logloss_delta=+0.000047; positive_fold_fraction=0.50; target_corr=+0.0042; max_redundancy=0.7840
home_runs_30g,KEEP,5.670580720600523e-05,0.0001481166789651378,1.0,-0.008176165964652475,0.6799640714011858,0.0015205755575425522,permutation_logloss_gain=+0.000057; LOFO_logloss_delta=+0.000148; positive_fold_fraction=1.00; target_corr=-0.0082; max_redundancy=0.6800
away_runs_10g,KEEP,5.169950620028304e-05,0.00047886860274509724,0.75,-0.010545553161599054,0.7420828063561217,0.0004419655105388156,permutation_logloss_gain=+0.000052; LOFO_logloss_delta=+0.000479; positive_fold_fraction=0.75; target_corr=-0.0105; max_redundancy=0.7421
away_rest_days,KEEP,5.0853649884367386e-05,0.00012779386556141525,1.0,0.006116375537311833,0.930137477193802,0.000583829115073968,permutation_logloss_gain=+0.000051; LOFO_logloss_delta=+0.000128; positive_fold_fraction=1.00; target_corr=+0.0061; max_redundancy=0.9301
away_runs_30g,KEEP,4.6636651428316744e-05,9.822152179497778e-05,0.75,-0.022154952432537074,0.6783702430453378,0.001069964718241886,permutation_logloss_gain=+0.000047; LOFO_logloss_delta=+0.000098; positive_fold_fraction=0.75; target_corr=-0.0222; max_redundancy=0.6784
over_price_decimal,KEEP,1.8161833586993754e-05,2.8083562821606955e-05,0.5,-0.011965561168517169,0.6710480523871278,0.0016875448185293283,permutation_logloss_gain=+0.000018; LOFO_logloss_delta=+0.000028; positive_fold_fraction=0.50; target_corr=-0.0120; max_redundancy=0.6710
away_walks_5g,KEEP,1.6830934311234943e-05,0.0002013255055609009,0.5,0.0008348987880329168,0.766704581449009,0.00026389763633138805,permutation_logloss_gain=+0.000017; LOFO_logloss_delta=+0.000201; positive_fold_fraction=0.50; target_corr=+0.0008; max_redundancy=0.7667
home_hits_30g,KEEP,3.391924746280287e-06,2.5188357872657496e-05,0.5,-0.0036429994448512514,0.6799640714011858,0.0004367421794293655,permutation_logloss_gain=+0.000003; LOFO_logloss_delta=+0.000025; positive_fold_fraction=0.50; target_corr=-0.0036; max_redundancy=0.6800
market_over_probability,REMOVE,-1.7721877839956452e-05,-0.00017916264132741833,0.25,0.029253149004265122,0.5564677148022937,0.0014957087528781558,permutation_logloss_gain=-0.000018; LOFO_logloss_delta=-0.000179; positive_fold_fraction=0.25; target_corr=+0.0293; max_redundancy=0.5565
total_market_vig,REMOVE,-2.1015941222538952e-05,-1.9710297762765006e-05,0.25,-0.001701596411153964,0.7556738523742017,0.0002821664538040263,permutation_logloss_gain=-0.000021; LOFO_logloss_delta=-0.000020; positive_fold_fraction=0.25; target_corr=-0.0017; max_redundancy=0.7557
home_walks_5g,REMOVE,-5.093270227382595e-05,-6.925981916841573e-05,0.25,-0.0038071266507829086,0.7692900243550058,0.000438534374659335,permutation_logloss_gain=-0.000051; LOFO_logloss_delta=-0.000069; positive_fold_fraction=0.25; target_corr=-0.0038; max_redundancy=0.7693
run_form_edge,REMOVE,-5.258708224586961e-05,-0.00015412148214183352,0.25,-0.004571228578189329,0.8263805338417768,0.0002120570822073395,permutation_logloss_gain=-0.000053; LOFO_logloss_delta=-0.000154; positive_fold_fraction=0.25; target_corr=-0.0046; max_redundancy=0.8264
home_runs_allowed_5g,REMOVE,-5.7982310661628775e-05,-0.0001291217256950694,0.0,0.005339553738605319,0.751552174322773,0.0009806955776639795,permutation_logloss_gain=-0.000058; LOFO_logloss_delta=-0.000129; positive_fold_fraction=0.00; target_corr=+0.0053; max_redundancy=0.7516
market_home_probability,REMOVE,-0.00013643270887126838,-0.00018318182391136029,0.25,-0.00652703193694896,0.9991199710969044,0.0006475188710442151,permutation_logloss_gain=-0.000136; LOFO_logloss_delta=-0.000183; positive_fold_fraction=0.25; target_corr=-0.0065; max_redundancy=0.9991
