method,bin,low,high,n,mean_probability,event_rate
market_blend,9,0.5075518046527853,0.5133323661870894,649,0.5102004535396594,0.49768875192604006
market_blend,10,0.5133323661870894,0.6075660887182324,649,0.520790924233425,0.5208012326656395
platt,1,0.43269239144455995,0.4780668898437972,649,0.4722677543454702,0.49922958397534667
platt,2,0.4780668898437972,0.4836642230629924,648,0.48095472041805915,0.4984567901234568
platt,3,0.4836642230629924,0.4878245093549853,649,0.48591267030535434,0.44684129429892144
platt,4,0.4878245093549853,0.49094297224303796,648,0.48933519014363774,0.5015432098765432
platt,5,0.49094297224303796,0.4939326143132644,649,0.49234384665459674,0.5208012326656395
platt,6,0.4939326143132644,0.498234996860396,648,0.495764840181175,0.5
platt,7,0.498234996860396,0.50299101981253,649,0.500963436478034,0.48228043143297383
platt,8,0.50299101981253,0.5051007001945321,648,0.5041524373645132,0.4567901234567901
platt,9,0.5051007001945321,0.5072471017561138,649,0.506109071429183,0.44992295839753466
platt,10,0.5072471017561138,0.5820404080725811,649,0.5101547024195603,0.5084745762711864
isotonic,1,0.001,0.469770253929867,19,0.3938393430294638,0.5789473684210527
isotonic,2,0.469770253929867,0.4751847940865892,1172,0.4697778559123366,0.5042662116040956
isotonic,3,0.4751847940865892,0.4808086727219455,599,0.4759772048001462,0.4524207011686144
isotonic,4,0.4808086727219455,0.4918541505042669,1226,0.4808086727219455,0.4902120717781403
isotonic,5,0.4918541505042669,0.5073619631901837,1496,0.49234951887210077,0.48061497326203206
isotonic,6,0.5073619631901837,0.5261813537675605,620,0.5073911946851449,0.5
isotonic,7,0.5261813537675605,0.6956521739130435,1354,0.5324221256456988,0.4815361890694239
logistic_meta,1,0.3617402670806908,0.45732985447949637,649,0.43958035850478927,0.4946070878274268
logistic_meta,2,0.45732985447949637,0.46998748491115977,648,0.46410212011655944,0.4675925925925926
logistic_meta,3,0.46998748491115977,0.4794941254718108,649,0.4750090821521799,0.4514637904468413
logistic_meta,4,0.4794941254718108,0.48704081536682664,648,0.48342039704814965,0.49537037037037035
logistic_meta,5,0.48704081536682664,0.49432448297801934,649,0.49062324318579537,0.49768875192604006
logistic_meta,6,0.49432448297801934,0.5017787810814934,648,0.49783282279733726,0.48148148148148145
logistic_meta,7,0.5017787810814934,0.5100764689840359,649,0.5058163423033737,0.46533127889060094
logistic_meta,8,0.5100764689840359,0.5206758840536896,648,0.5152568614940508,0.49382716049382713
logistic_meta,9,0.5206758840536896,0.5360829931629367,649,0.5276063664404161,0.5069337442218799
logistic_meta,10,0.5360829931629367,0.7609473022385627,649,0.5563649871982089,0.5100154083204931
gradient_boosting_meta,1,0.4479159898101244,0.4789055531272193,467,0.47379959072451666,0.5160599571734475
gradient_boosting_meta,2,0.4789055531272193,0.4808428605646445,775,0.47917149172400453,0.48774193548387096
gradient_boosting_meta,3,0.4808428605646445,0.48335535141296515,697,0.48134729273344634,0.4763271162123386
gradient_boosting_meta,4,0.48335535141296515,0.48839642738057415,550,0.4849451433013668,0.5054545454545455
gradient_boosting_meta,5,0.48839642738057415,0.4952521407664513,753,0.49171348470681325,0.47277556440903057
gradient_boosting_meta,6,0.4952521407664513,0.49653639117960235,576,0.4956871953883504,0.4722222222222222
gradient_boosting_meta,7,0.49653639117960235,0.5011788787796401,577,0.4977508927826445,0.49220103986135183
gradient_boosting_meta,8,0.5011788787796401,0.508448152280163,668,0.5040110565845309,0.5149700598802395
gradient_boosting_meta,9,0.508448152280163,0.5147625810887709,724,0.5098370585005539,0.48342541436464087
gradient_boosting_meta,10,0.5147625810887709,0.5583991088842628,699,0.5234227615543687,0.45779685264663805
