precision,recall,threshold
0.4908,0.6224,0.4768
0.4918,0.6224,0.4768
0.4907,0.6198,0.4773
0.4917,0.6198,0.4773
0.4928,0.6198,0.4774
0.4938,0.6198,0.4775
0.4948,0.6198,0.4777
0.4958,0.6198,0.4777
0.4969,0.6198,0.4777
0.4979,0.6198,0.4778
0.499,0.6198,0.478
0.4979,0.6172,0.4781
0.4968,0.6146,0.4782
0.4979,0.6146,0.4782
0.4968,0.612,0.4784
0.4979,0.612,0.4785
0.4989,0.612,0.4785
0.4979,0.6094,0.4786
0.4989,0.6094,0.4786
0.4979,0.6068,0.4787
0.4968,0.6042,0.4787
0.4957,0.6016,0.4788
0.4946,0.599,0.4788
0.4935,0.5964,0.4788
0.4924,0.5938,0.4789
0.4935,0.5938,0.4789
0.4924,0.5911,0.4789
0.4935,0.5911,0.479
0.4946,0.5911,0.4791
0.4956,0.5911,0.4791
0.4967,0.5911,0.4791
0.4956,0.5885,0.4792
0.4967,0.5885,0.4792
0.4956,0.5859,0.4793
0.4967,0.5859,0.4793
0.4978,0.5859,0.4794
0.4967,0.5833,0.4795
0.4978,0.5833,0.4796
0.4989,0.5833,0.4797
0.4978,0.5807,0.4799
0.4966,0.5781,0.4799
0.4978,0.5781,0.48
0.4966,0.5755,0.4801
0.4977,0.5755,0.4802
0.4989,0.5755,0.4802
0.5,0.5755,0.4803
0.4989,0.5729,0.4804
0.5,0.5729,0.4804
0.4989,0.5703,0.4804
0.5,0.5703,0.4809
0.4989,0.5677,0.4809
0.5,0.5677,0.481
0.5011,0.5677,0.481
0.5023,0.5677,0.481
0.5012,0.5651,0.4811
0.5023,0.5651,0.4812
0.5012,0.5625,0.4812
0.5,0.5599,0.4812
0.4988,0.5573,0.4813
0.4977,0.5547,0.4813
0.4965,0.5521,0.4814
0.4977,0.5521,0.4815
0.4988,0.5521,0.4816
0.5,0.5521,0.4817
0.5012,0.5521,0.4818
0.5,0.5495,0.4818
0.5012,0.5495,0.4818
0.5,0.5469,0.4818
0.4988,0.5443,0.4818
