precision,recall,threshold
0.4878,0.6587,0.4291
0.4867,0.6557,0.4294
0.4878,0.6557,0.4295
0.4866,0.6527,0.4296
0.4855,0.6497,0.4297
0.4865,0.6497,0.4299
0.4854,0.6467,0.4301
0.4865,0.6467,0.4301
0.4876,0.6467,0.4302
0.4887,0.6467,0.4303
0.4875,0.6437,0.4306
0.4886,0.6437,0.4307
0.4875,0.6407,0.4308
0.4886,0.6407,0.4311
0.4874,0.6377,0.4315
0.4862,0.6347,0.4316
0.4874,0.6347,0.4318
0.4885,0.6347,0.4321
0.4873,0.6317,0.4326
0.4861,0.6287,0.4329
0.4849,0.6257,0.4331
0.4837,0.6228,0.4334
0.4825,0.6198,0.4335
0.4836,0.6198,0.4337
0.4824,0.6168,0.4337
0.4836,0.6168,0.4339
0.4824,0.6138,0.4341
0.4835,0.6138,0.4342
0.4846,0.6138,0.4343
0.4858,0.6138,0.4343
0.4846,0.6108,0.4344
0.4857,0.6108,0.4345
0.4845,0.6078,0.4345
0.4856,0.6078,0.4346
0.4844,0.6048,0.4347
0.4832,0.6018,0.4348
0.4819,0.5988,0.4349
0.4831,0.5988,0.435
0.4818,0.5958,0.4352
0.4806,0.5928,0.4352
0.4793,0.5898,0.4353
0.4805,0.5898,0.4353
0.4817,0.5898,0.4353
0.4804,0.5868,0.4354
0.4816,0.5868,0.4355
0.4803,0.5838,0.4357
0.479,0.5808,0.4358
0.4777,0.5778,0.4359
0.4789,0.5778,0.4368
0.4776,0.5749,0.4373
0.4763,0.5719,0.4373
0.475,0.5689,0.4374
0.4737,0.5659,0.4375
0.4724,0.5629,0.4376
0.4736,0.5629,0.4376
0.4747,0.5629,0.4381
0.4759,0.5629,0.4381
0.4772,0.5629,0.4382
0.4758,0.5599,0.4383
0.4745,0.5569,0.4384
0.4731,0.5539,0.4385
0.4718,0.5509,0.4386
0.473,0.5509,0.4387
0.4742,0.5509,0.4389
0.4729,0.5479,0.4395
0.4741,0.5479,0.4398
0.4753,0.5479,0.4398
0.474,0.5449,0.4399
0.4752,0.5449,0.44
0.4738,0.5419,0.44
0.4724,0.5389,0.4402
0.4737,0.5389,0.4402
0.4723,0.5359,0.4404
0.4735,0.5359,0.4408
0.4748,0.5359,0.4409
0.4734,0.5329,0.4409
0.472,0.5299,0.4414
0.4706,0.5269,0.4414
0.4718,0.5269,0.4414
0.4731,0.5269,0.4419
0.4744,0.5269,0.442
0.473,0.524,0.4421
0.4715,0.521,0.4423
0.4701,0.518,0.4426
0.4714,0.518,0.4431
0.4699,0.515,0.4432
0.4685,0.512,0.4433
0.467,0.509,0.4433
0.4656,0.506,0.4434
0.4669,0.506,0.4434
0.4681,0.506,0.4435
0.4694,0.506,0.4436
0.4708,0.506,0.4446
0.4721,0.506,0.4446
0.4706,0.503,0.445
0.4719,0.503,0.4452
0.4704,0.5,0.4457
0.4718,0.5,0.4457
0.4731,0.5,0.4458
0.4744,0.5,0.4459
0.4729,0.497,0.4459
0.4714,0.494,0.446
0.4699,0.491,0.4463
0.4684,0.488,0.4463
0.4697,0.488,0.4463
0.4682,0.485,0.4465
0.4696,0.485,0.4467
0.468,0.482,0.4471
0.4694,0.482,0.4471
0.4708,0.482,0.4473
0.4692,0.479,0.4474
0.4706,0.479,0.4476
0.472,0.479,0.4479
0.4704,0.476,0.4479
0.4718,0.476,0.4484
0.4702,0.4731,0.4496
0.4687,0.4701,0.4499
0.4671,0.4671,0.45
0.4685,0.4671,0.45
0.4669,0.4641,0.4503
0.4683,0.4641,0.4504
0.4697,0.4641,0.4505
0.4711,0.4641,0.451
0.4726,0.4641,0.4511
0.474,0.4641,0.4513
0.4724,0.4611,0.4516
0.4708,0.4581,0.4518
0.4691,0.4551,0.4518
0.4706,0.4551,0.4522
0.4689,0.4521,0.4526
0.4673,0.4491,0.4532
0.4688,0.4491,0.4533
0.4702,0.4491,0.4534
0.4717,0.4491,0.4539
0.47,0.4461,0.454
0.4715,0.4461,0.4541
0.473,0.4461,0.4541
0.4713,0.4431,0.4542
0.4728,0.4431,0.4546
0.4712,0.4401,0.4553
0.4727,0.4401,0.4553
0.4742,0.4401,0.4558
0.4725,0.4371,0.456
0.474,0.4371,0.4562
0.4723,0.4341,0.4563
0.4739,0.4341,0.4564
0.4721,0.4311,0.4564
0.4704,0.4281,0.4579
0.4719,0.4281,0.4583
0.4735,0.4281,0.4591
0.4718,0.4251,0.4593
0.47,0.4222,0.4594
0.4716,0.4222,0.4597
0.4732,0.4222,0.4601
0.4747,0.4222,0.4602
0.473,0.4192,0.4603
0.4712,0.4162,0.4604
0.4694,0.4132,0.4605
0.4676,0.4102,0.4605
0.4658,0.4072,0.4605
0.4639,0.4042,0.461
0.4655,0.4042,0.4614
0.4671,0.4042,0.4626
0.4688,0.4042,0.4628
0.4704,0.4042,0.4631
0.4685,0.4012,0.4633
0.4702,0.4012,0.4634
0.4718,0.4012,0.4635
0.4735,0.4012,0.4641
0.4752,0.4012,0.4641
0.4733,0.3982,0.4643
0.475,0.3982,0.4645
0.4767,0.3982,0.4649
0.4784,0.3982,0.465
0.4765,0.3952,0.4652
0.4746,0.3922,0.466
0.4764,0.3922,0.4661
0.4745,0.3892,0.4663
0.4725,0.3862,0.4666
0.4743,0.3862,0.4666
0.4723,0.3832,0.4668
0.4704,0.3802,0.467
0.4684,0.3772,0.4671
0.4664,0.3743,0.4675
0.4682,0.3743,0.4676
0.4699,0.3743,0.468
0.4717,0.3743,0.4685
0.4735,0.3743,0.4687
0.4753,0.3743,0.4693
0.4771,0.3743,0.4694
0.4789,0.3743,0.4695
0.4769,0.3713,0.4698
0.4788,0.3713,0.4699
0.4767,0.3683,0.47
0.4786,0.3683,0.4707
0.4766,0.3653,0.471
0.4784,0.3653,0.4714
0.4803,0.3653,0.4715
0.4783,0.3623,0.4722
0.4802,0.3623,0.4726
0.4821,0.3623,0.4727
0.48,0.3593,0.4728
0.4819,0.3593,0.4731
0.4839,0.3593,0.4732
0.4818,0.3563,0.4736
0.4797,0.3533,0.4738
0.4776,0.3503,0.4739
0.4795,0.3503,0.474
0.4815,0.3503,0.4743
0.4793,0.3473,0.4744
0.4813,0.3473,0.4746
0.4833,0.3473,0.4748
0.4854,0.3473,0.4748
0.4874,0.3473,0.475
0.4895,0.3473,0.475
0.4873,0.3443,0.4753
0.4894,0.3443,0.4763
0.4872,0.3413,0.4766
0.4893,0.3413,0.4767
0.4871,0.3383,0.477
0.4848,0.3353,0.4773
0.4826,0.3323,0.4775
0.4803,0.3293,0.4777
0.4781,0.3263,0.4777
0.4758,0.3234,0.478
0.4779,0.3234,0.4782
0.4756,0.3204,0.4782
0.4777,0.3204,0.479
0.4798,0.3204,0.479
0.4775,0.3174,0.4795
0.4751,0.3144,0.4798
0.4773,0.3144,0.4802
0.4749,0.3114,0.4804
0.4771,0.3114,0.4807
0.4793,0.3114,0.4808
0.4769,0.3084,0.4817
0.4791,0.3084,0.4818
0.4766,0.3054,0.4824
0.4742,0.3024,0.4832
0.4717,0.2994,0.4837
0.4739,0.2994,0.4838
0.4714,0.2964,0.484
0.4737,0.2964,0.4841
0.4712,0.2934,0.4842
0.4734,0.2934,0.4842
0.4757,0.2934,0.4844
0.478,0.2934,0.4846
0.4804,0.2934,0.4849
0.4778,0.2904,0.4859
0.4802,0.2904,0.4861
0.4776,0.2874,0.4865
0.475,0.2844,0.4865
0.4724,0.2814,0.4872
0.4697,0.2784,0.4874
0.4721,0.2784,0.4878
0.4694,0.2754,0.4883
0.4667,0.2725,0.4884
0.4691,0.2725,0.489
0.4715,0.2725,0.4895
0.4688,0.2695,0.4896
0.466,0.2665,0.4901
0.4684,0.2665,0.4906
0.4656,0.2635,0.4906
0.4628,0.2605,0.491
0.4652,0.2605,0.4913
0.4677,0.2605,0.4917
0.4703,0.2605,0.4917
0.4728,0.2605,0.4917
0.4754,0.2605,0.4918
0.4725,0.2575,0.4924
0.4696,0.2545,0.4929
0.4667,0.2515,0.493
0.4693,0.2515,0.4931
0.4663,0.2485,0.4938
0.4633,0.2455,0.495
0.4659,0.2455,0.4956
0.4686,0.2455,0.4972
0.4655,0.2425,0.4972
0.4682,0.2425,0.4976
0.4709,0.2425,0.4978
0.4678,0.2395,0.4979
0.4706,0.2395,0.498
0.4734,0.2395,0.4982
0.4702,0.2365,0.4988
0.4731,0.2365,0.499
0.4699,0.2335,0.4991
0.4727,0.2335,0.4994
0.4756,0.2335,0.4997
0.4724,0.2305,0.5001
0.4753,0.2305,0.5004
0.4783,0.2305,0.5005
0.475,0.2275,0.5008
0.478,0.2275,0.5015
0.481,0.2275,0.5015
0.4777,0.2246,0.5016
0.4808,0.2246,0.5017
0.4839,0.2246,0.5018
0.487,0.2246,0.5018
0.4837,0.2216,0.5019
0.4868,0.2216,0.5021
0.4901,0.2216,0.5021
0.4867,0.2186,0.5026
0.4832,0.2156,0.5032
0.4865,0.2156,0.5033
0.483,0.2126,0.5037
0.4795,0.2096,0.5041
0.4759,0.2066,0.5043
0.4792,0.2066,0.5045
0.4755,0.2036,0.505
0.4718,0.2006,0.5052
0.4681,0.1976,0.5053
0.4714,0.1976,0.5053
0.4676,0.1946,0.5055
0.471,0.1946,0.506
0.4745,0.1946,0.5069
0.4779,0.1946,0.5069
0.4815,0.1946,0.507
0.4776,0.1916,0.5072
0.4812,0.1916,0.5077
0.4773,0.1886,0.5078
0.4733,0.1856,0.5079
0.4769,0.1856,0.5087
0.4729,0.1826,0.5089
