target,feature,family,verdict,mean_logloss_improvement,fold_1,fold_2,fold_3,fold_4
home_win,home_strikeouts_accel_5v30,rolling_trend,REMOVE,-0.00010517441459023669,-0.0005602845303387394,0.000487328091100081,0.0006117084812471418,-0.0009594497003694302
home_win,home_strikeouts_accel_10v30,rolling_trend,REMOVE,-0.00030864556206405824,-0.0006801965225663453,-0.0002346823667986886,0.0007980552067948787,-0.0011177585656860778
home_win,home_run_diff_5g,rolling_trend,REMOVE,-0.0003310315770103378,-0.0007210423431059931,0.00018050542472725084,0.0002288117752815566,-0.0010124011649441655
home_win,home_run_diff_30g,rolling_trend,REMOVE,-0.0002733951509524546,-0.0005886308686451347,0.0002493547286783748,2.4804849332649148e-05,-0.0007791093131757076
home_win,away_runs_accel_5v10,rolling_trend,REMOVE,-0.00019570419306272346,-0.0003280692955545117,0.0002186867202532694,0.0004194859608753765,-0.001092920157825028
home_win,away_runs_accel_5v30,rolling_trend,REMOVE,-0.00016164282400063512,-0.0006138362095592376,0.00050675675391465,0.0003914294632010318,-0.0009309213035589847
home_win,away_runs_accel_10v30,rolling_trend,REMOVE,-0.00023451705939694922,-0.0005310064678281101,0.0001741249382054555,0.0004367364888651082,-0.0010179231968302505
home_win,away_runs_allowed_accel_5v10,rolling_trend,REMOVE,-0.000408783479972058,-0.00032266910511358216,-0.00046679350593337166,8.402811883312378e-05,-0.000929699427674402
home_win,away_runs_allowed_accel_5v30,rolling_trend,REMOVE,-0.00017508966021320682,-0.0002736112818378933,0.00036464290780602315,0.00044699740118636644,-0.0012383876680073236
home_win,away_runs_allowed_accel_10v30,rolling_trend,REMOVE,-0.00014386244678193938,-0.00015008037179098377,0.0001309247710959971,0.00045439252296630706,-0.001010686709399078
home_win,away_hits_accel_5v10,rolling_trend,REMOVE,-0.00018938240168572817,6.88525080714264e-05,-0.00012187867318269596,0.0003508967467983348,-0.001055400188429978
home_win,away_hits_accel_5v30,rolling_trend,REMOVE,-0.00015672664488497468,-0.0003684583209989656,0.0004033339161946259,0.0008111618612719473,-0.0014729440360075063
home_win,away_hits_accel_10v30,rolling_trend,REMOVE,-0.0002163401987896052,-0.00021443269597198888,-4.912889435060297e-05,0.0004079231263849348,-0.0010097223312207637
home_win,away_walks_accel_5v10,rolling_trend,KEEP,3.705827691480312e-05,3.2730481833831426e-05,0.00031568581127960904,0.0008084200566368382,-0.0010086032420910662
home_win,away_walks_accel_5v30,rolling_trend,REMOVE,-0.000204953740036512,-0.00040518731601735247,-0.00028305584655974325,-0.0002865525289560411,0.0001549807313870888
