batter_id,year,avg_exit_velo,at_bats,avg_launch_angle
602104,2024,83.4589552238806,402,17.583126550868485
602104,2025,83.32444889779559,499,19.024048096192384
605113,2024,78.79807692307692,312,15.288461538461538
605113,2025,82.21176470588235,17,16.11764705882353
605119,2024,101.56666666666666,3,10.0
605131,2024,79.64292682926829,205,17.253658536585366
605131,2025,79.67017543859649,57,10.701754385964913
605137,2024,82.4393085787452,781,15.921895006402048
605137,2025,84.93584637268847,703,16.44238975817923
605141,2024,83.6544642857143,784,23.823979591836736
605141,2025,84.51239495798319,952,20.88993710691824
605170,2024,83.86143250688706,363,12.304945054945055
605170,2025,83.75979797979798,495,15.07429718875502
605204,2024,84.3701030927835,194,9.489690721649485
605204,2025,84.81176470588235,17,1.9411764705882353
605244,2024,81.84444444444445,18,3.9444444444444446
605244,2025,91.34545454545454,11,27.363636363636363
605346,2024,79.2372340425532,94,19.54255319148936
605346,2025,76.3,8,11.75
605353,2025,84.03076923076924,26,27.0
605361,2024,82.44150943396225,212,18.221698113207548
605361,2025,81.57692307692308,156,19.936305732484076
605421,2024,85.65,2,14.5
605548,2024,89.2,4,-16.75
605612,2025,84.08387096774193,31,10.67741935483871
606019,2024,87.33333333333333,3,30.333333333333332
606115,2024,82.61313506815365,807,12.29579207920792
606115,2025,81.43494809688582,289,14.259515570934257
606192,2024,83.16936736958935,901,18.99889135254989
606192,2025,83.24564676616916,804,13.874534161490683
606466,2024,86.34736180904522,796,14.696741854636592
606466,2025,85.36298342541437,724,15.344827586206897
606992,2024,79.87866666666666,75,11.092105263157896
606992,2025,76.25,92,9.206521739130435
607043,2024,84.22377049180328,976,18.419816138917263
607043,2025,84.95690045248868,884,18.205417607223477
607054,2024,76.71891891891892,37,-1.4594594594594594
607067,2025,66.2,3,38.333333333333336
607208,2024,83.160201511335,794,14.906918238993711
607208,2025,83.0233695652174,920,15.171739130434782
607680,2024,80.16666666666667,453,20.068281938325992
607680,2025,82.73370786516854,89,23.921348314606742
607732,2024,82.15031847133758,314,16.579113924050635
607732,2025,80.43588235294118,170,13.423529411764706
608070,2024,84.70887166236004,1161,21.809114359415304
608070,2025,83.93478672985782,1055,21.737937559129612
608324,2024,83.92911668484187,917,22.238302502720348
608324,2025,85.31392215568862,668,21.778443113772454
608336,2024,82.88964285714285,280,26.914590747330962
608348,2024,82.87315914489311,421,17.817535545023695
608348,2025,82.41123966942149,605,21.573553719008263
608360,2025,83.81428571428572,7,-8.0
608369,2024,84.64876712328767,730,18.964383561643835
608369,2025,85.37120141342756,566,18.199646643109542
608385,2024,82.14249649368864,713,18.828892005610097
608385,2025,82.6588785046729,107,20.0
608422,2024,,0,
608596,2024,83.88205128205128,39,11.925
608671,2024,78.36007326007326,273,11.498168498168498
608671,2025,78.96329113924051,79,6.582278481012659
608701,2024,82.65984042553191,376,13.63563829787234
608701,2025,84.32602230483272,269,18.256505576208177
608841,2024,83.71561771561771,429,13.839160839160838
608841,2025,84.24285714285715,7,19.285714285714285
609274,2024,47.6,1,-13.0
609280,2024,81.70191082802548,471,11.26271186440678
609280,2025,82.84790076335878,524,14.69449715370019
613546,2024,,0,
613564,2024,86.58048780487805,41,19.609756097560975
614173,2025,69.12,5,1.0
620443,2024,83.71767676767676,198,16.934343434343436
620443,2025,84.23333333333333,396,12.133165829145728
620449,2025,90.5,2,2.0
621008,2024,,0,
621008,2025,,0,
621020,2024,83.17652399481193,771,13.243839169909208
621020,2025,84.101536643026,846,15.469893742621016
621028,2024,80.37885985748218,421,14.415676959619953
621028,2025,79.51384615384616,195,19.81025641025641
621035,2024,80.6289156626506,332,18.28012048192771
621035,2025,80.81931034482758,145,18.144827586206898
621043,2024,85.78243801652891,484,14.171487603305785
621043,2025,84.2570895522388,804,15.008684863523573
