pitcher_id,year,avg_fastball_velo,pitches_thrown,games
622259,2024,91.87363184079601,201,9
622268,2024,66.79230769230769,13,1
622338,2024,92.26818181818182,22,1
622338,2025,91.82352941176471,17,1
622379,2025,88.36607142857143,168,2
622491,2024,92.28869839048285,2858,32
622491,2025,91.8109584859585,3276,37
622503,2024,83.38172043010752,93,5
622503,2025,83.39531835205992,534,10
622554,2024,93.96939313984169,1137,69
622554,2025,92.79499626587005,1339,81
622569,2024,65.02777777777777,18,1
622569,2025,60.57222222222222,18,1
622608,2024,90.93256880733945,218,3
622608,2025,90.68440553745928,2456,32
622663,2024,92.45291948371235,3253,35
622663,2025,91.74024166971806,2731,31
622694,2024,87.77250996015937,251,9
622761,2025,65.64857142857143,35,1
622766,2024,89.77288135593221,59,3
622780,2025,89.93135593220339,118,7
622786,2024,90.91159638554217,664,37
622786,2025,89.9118309859155,355,22
623149,2024,87.92829046898638,661,44
623149,2025,86.9107042253521,355,25
623167,2024,85.37347157668931,2797,34
623167,2025,86.50133729569094,673,21
623168,2024,59.449999999999996,8,1
623168,2025,52.88793103448276,58,3
623211,2024,92.85695216907675,899,38
623211,2025,93.42001853568118,1079,55
623352,2024,93.09733009708738,1235,75
623352,2025,90.13207762557077,876,50
623381,2024,,0,2
623433,2024,88.44834205933682,573,39
623433,2025,90.16450381679388,262,14
623437,2024,86.1,20,4
623437,2025,89.14829268292682,1025,57
623451,2024,87.5,100,6
623454,2024,91.04814814814816,54,2
623465,2024,91.33472356935015,1031,67
623465,2025,89.72717391304347,92,7
623474,2024,84.94179894179894,189,8
623474,2025,85.51115297663904,1327,63
623520,2024,67.12666666666667,15,1
624133,2024,85.33196492626544,2509,29
624133,2025,84.61151079136691,2502,27
624431,2024,57.65581395348837,43,2
624431,2025,50.182978723404254,47,2
624512,2025,40.38823529411765,17,1
624522,2024,89.21486988847583,538,27
624647,2024,89.56859903381643,414,29
624647,2025,,0,1
625643,2024,89.9097445600757,2110,27
625643,2025,87.40903614457831,166,2
628317,2024,84.87719132893497,2122,31
628317,2025,84.60703517587939,199,9
628452,2024,91.34213362068965,928,69
628452,2025,92.03236514522821,964,73
628708,2024,91.51235521235522,518,27
630023,2024,88.90382059800665,601,8
640448,2024,94.20461254612546,1082,66
640448,2025,92.2875904860393,967,65
640451,2024,93.77167755991285,918,52
640451,2025,91.41428571428571,231,16
640454,2024,87.86296296296297,27,2
640454,2025,86.42535211267605,71,4
640455,2024,87.9453237410072,3475,38
640455,2025,86.57296803652967,1095,15
640462,2024,90.57433930093777,1173,63
640462,2025,92.32070707070707,198,11
640470,2024,90.65531914893617,329,20
640902,2024,56.08,5,1
640902,2025,68.06714285714285,70,3
641149,2024,90.32285714285715,175,6
641154,2024,90.1244197450147,3059,33
641154,2025,89.73005738880919,1394,16
641302,2024,84.76139088729016,1668,24
641302,2025,86.44694864048338,1655,54
641312,2024,88.11475409836065,244,6
641312,2025,88.04398148148148,216,7
641329,2024,90.32447368421053,380,21
641329,2025,91.44797479747974,1111,76
641343,2024,64.672,75,4
641343,2025,66.14430379746835,79,5
641360,2024,90.71204188481676,191,11
641360,2025,,0,1
641386,2024,,0,1
641386,2025,89.78395721925133,187,12
641394,2024,,0,1
641401,2024,87.14437086092715,151,7
641401,2025,89.26440476190477,840,43
641427,2024,89.752,75,5
641427,2025,89.14444444444445,9,1
641461,2024,88.55833333333334,12,1
641482,2024,87.6471224276247,2866,34
641482,2025,86.29540059347181,674,9
641540,2024,85.98450142450142,1755,28
641540,2025,87.26690476190475,420,13
641541,2024,92.2375,8,1
641582,2024,86.65185185185184,108,6
641585,2024,84.93026315789474,532,7
641585,2025,86.32105263157894,76,2
641627,2024,,0,1
641632,2024,,0,2
641645,2024,59.8046511627907,43,3
641656,2024,92.04003021148036,661,39
641656,2025,92.25738461538462,650,38
641658,2024,55.97692307692308,13,1
641658,2025,47.26666666666667,3,1
641672,2025,89.29173166926677,641,13
641682,2025,90.70645161290322,31,2
641703,2024,89.21974683544305,790,26
641712,2024,86.43531994981178,1594,20
641726,2024,89.22384341637012,281,8
641729,2024,89.35289855072465,1104,72
641745,2024,89.38790322580645,743,16
641745,2025,93.22109634551495,1204,75
641750,2024,,0,2
641755,2024,91.58021086780211,1233,71
641755,2025,88.67578947368422,1235,75
641771,2024,88.91479591836735,980,34
641778,2024,87.04,25,1
641778,2025,86.78960967564595,1818,34
641793,2024,87.47609204368175,2564,30
641793,2025,87.64458753915767,2873,35
641816,2024,88.35851528384279,229,3
641816,2025,88.14870603848706,1506,18
641835,2024,91.04019607843138,816,56
641835,2025,91.52114803625378,331,18
641907,2025,88.46666666666667,45,1
641927,2024,86.65044510385756,2696,32
641927,2025,85.21785425101214,2470,29
641941,2024,90.74789207419899,593,42
641941,2025,91.63269230769231,1092,71
642016,2024,89.13050847457627,118,7
642016,2025,89.75019011406845,263,16
642028,2024,83.76529411764706,170,6
642048,2024,87.19105431309904,626,55
642048,2025,87.36905660377359,265,13
642086,2024,48.47096774193548,31,3
642100,2024,89.42880184331797,434,32
642100,2025,91.78558994197293,1034,86
642121,2024,88.3277397260274,292,11
642121,2025,88.28100961538462,416,19
642130,2024,90.82631578947368,19,3
642133,2024,54.31818181818182,44,3
642133,2025,56.82608695652174,23,1
642152,2025,89.86236933797909,861,50
642180,2025,52.644444444444446,18,1
642207,2024,90.10413793103449,435,24
642207,2025,88.71083944580276,1227,73
642215,2024,44.4,8,1
642215,2025,52.78611111111111,36,2
642216,2024,84.72925170068028,147,2
642216,2025,85.08708333333334,240,4
642232,2024,80.52081712062257,1542,45
642232,2025,81.38998054474708,1028,21
642239,2024,87.985,119,11
642239,2025,87.40689655172413,406,29
642397,2024,92.78531935176359,1048,71
642397,2025,92.47371854613235,1073,73
642520,2024,88.38882113821138,492,18
642520,2025,88.93701657458564,181,5
642528,2024,94.87260273972602,73,5
642528,2025,93.6473233404711,467,30
642530,2024,,0,1
642545,2024,87.39583333333333,72,3
642546,2024,91.50946123521682,761,31
642546,2025,91.67142857142856,49,3
642547,2024,89.29888782967905,3147,36
642547,2025,89.82899197145406,3362,38
642575,2024,90.0125,8,1
642585,2025,93.74322169059012,627,37
642629,2024,88.90716112531969,391,17
642701,2024,91.20274336283187,1129,64
642701,2025,90.29136408243376,1019,72
642708,2025,49.93571428571429,28,1
642759,2025,93.84342105263158,76,4
642834,2024,83.42644628099174,121,3
643256,2024,81.28058690744922,443,32
643338,2024,92.29363839285715,896,57
643338,2025,91.73640054127199,739,47
643361,2024,88.0794701986755,151,7
643361,2025,87.0550925925926,216,7
643377,2024,92.49087557603687,1085,74
643377,2025,91.65109745390694,1139,76
643396,2024,67.83888888888889,18,2
643396,2025,68.27142857142857,7,1
643410,2024,84.36186594202898,1103,69
643410,2025,86.01789473684211,855,61
643493,2024,88.75104166666667,96,7
643511,2024,79.23260654112983,1009,82
643511,2025,81.05570131180626,991,84
645261,2025,92.33562781044621,2891,32
645305,2025,54.922222222222224,18,1
645444,2025,43.7074074074074,27,2
646242,2024,83.89638554216867,166,6
646242,2025,80.69615384615385,26,1
647306,2024,,0,1
647315,2024,94.32319018404907,815,62
647315,2025,93.00130718954249,153,6
647336,2024,87.89077669902913,1442,26
647336,2025,88.1496183206107,1572,26
647351,2025,43.593333333333334,15,1
650489,2024,53.806666666666665,15,2
650489,2025,40.96666666666667,12,1
650556,2024,91.15029806259314,1341,82
650556,2025,92.00738589211618,1205,71
650633,2024,89.27265774378584,3137,34
650633,2025,89.21143514965465,1303,18
650644,2024,86.59195318215069,2734,33
650644,2025,87.32258601553828,1802,25
650671,2024,93.3131926121372,379,22
650671,2025,92.59690721649484,97,6
650893,2024,90.70635514018691,1070,71
650893,2025,90.05602739726027,730,41
650895,2024,89.97853107344633,177,10
650895,2025,92.0939393939394,66,3
650911,2024,89.46033141697667,2957,34
650911,2025,90.41742448330683,3146,35
650960,2024,90.24054054054054,74,5
655889,2024,93.15384615384616,624,42
655889,2025,93.29132420091324,438,34
656186,2024,94.10963855421687,83,7
656186,2025,93.53528301886791,530,32
656222,2024,91.16936416184971,1211,76
656222,2025,91.27491926803013,929,64
656232,2024,88.23372549019608,510,18
656232,2025,88.88510638297873,47,1
656234,2024,89.81845070422536,710,38
656234,2025,87.04013157894737,1064,52
656240,2024,88.89408284023669,338,15
656240,2025,87.67780678851175,766,29
