game_pk,pitcher,pitch_group,pitches,game_date
744817,573124,fastball,11,2024-08-06
744817,663432,breaking,3,2024-08-06
744817,663432,fastball,15,2024-08-06
744817,663546,breaking,18,2024-08-06
744817,663546,fastball,24,2024-08-06
744817,669022,breaking,21,2024-08-06
744817,669022,fastball,70,2024-08-06
744817,669022,offspeed,7,2024-08-06
744817,676395,breaking,1,2024-08-06
744817,676395,fastball,4,2024-08-06
744817,676395,offspeed,5,2024-08-06
744817,678495,breaking,23,2024-08-06
744817,678495,fastball,22,2024-08-06
744817,678495,offspeed,11,2024-08-06
744817,806185,breaking,33,2024-08-06
744817,806185,fastball,21,2024-08-06
744817,806185,offspeed,12,2024-08-06
744818,519043,breaking,1,2024-08-09
744818,519043,fastball,8,2024-08-09
744818,519043,offspeed,5,2024-08-09
744818,519326,breaking,6,2024-08-09
744818,519326,fastball,4,2024-08-09
744818,519326,offspeed,1,2024-08-09
744818,606930,breaking,1,2024-08-09
744818,606930,fastball,31,2024-08-09
744818,640448,breaking,3,2024-08-09
744818,640448,fastball,19,2024-08-09
744818,640448,offspeed,7,2024-08-09
744818,650671,fastball,13,2024-08-09
744818,650671,offspeed,2,2024-08-09
744818,667755,breaking,27,2024-08-09
744818,667755,fastball,58,2024-08-09
744818,667755,offspeed,3,2024-08-09
744818,680730,breaking,26,2024-08-09
744818,680730,fastball,49,2024-08-09
744818,680730,offspeed,23,2024-08-09
744818,690829,fastball,6,2024-08-09
744819,571882,breaking,16,2024-08-08
744819,571882,fastball,12,2024-08-08
744819,571882,offspeed,4,2024-08-08
744819,573124,breaking,5,2024-08-08
744819,573124,fastball,10,2024-08-08
744819,606930,breaking,1,2024-08-08
744819,606930,fastball,22,2024-08-08
744819,640448,breaking,1,2024-08-08
744819,640448,fastball,21,2024-08-08
744819,640448,offspeed,6,2024-08-08
744819,663546,breaking,4,2024-08-08
744819,663546,fastball,1,2024-08-08
744819,663855,breaking,7,2024-08-08
744819,663855,fastball,8,2024-08-08
744819,666808,breaking,11,2024-08-08
744819,666808,fastball,13,2024-08-08
744819,669062,breaking,4,2024-08-08
744819,669062,fastball,7,2024-08-08
744819,669062,offspeed,1,2024-08-08
744819,672851,breaking,3,2024-08-08
744819,672851,fastball,6,2024-08-08
744819,672851,offspeed,1,2024-08-08
744819,674285,breaking,13,2024-08-08
744819,674285,fastball,7,2024-08-08
744819,676254,breaking,3,2024-08-08
744819,676254,fastball,7,2024-08-08
744819,676395,breaking,7,2024-08-08
744819,676395,fastball,9,2024-08-08
744819,676395,offspeed,8,2024-08-08
744819,687792,breaking,11,2024-08-08
744819,687792,fastball,45,2024-08-08
744819,687792,offspeed,18,2024-08-08
744819,690986,breaking,20,2024-08-08
744819,690986,fastball,24,2024-08-08
744819,690986,offspeed,17,2024-08-08
744820,519326,breaking,8,2024-08-10
744820,519326,fastball,11,2024-08-10
744820,571578,breaking,43,2024-08-10
744820,571578,fastball,48,2024-08-10
744820,571578,offspeed,4,2024-08-10
744820,571882,breaking,8,2024-08-10
744820,571882,fastball,13,2024-08-10
744820,571882,offspeed,2,2024-08-10
744820,656288,breaking,28,2024-08-10
744820,656288,fastball,35,2024-08-10
744820,656288,offspeed,25,2024-08-10
744820,663432,breaking,1,2024-08-10
744820,663432,fastball,9,2024-08-10
744820,668968,breaking,11,2024-08-10
744820,668968,fastball,11,2024-08-10
744820,668968,offspeed,1,2024-08-10
744820,672710,fastball,2,2024-08-10
744820,674285,breaking,6,2024-08-10
744820,674285,fastball,15,2024-08-10
744820,678606,breaking,1,2024-08-10
744820,678606,fastball,9,2024-08-10
744820,678606,offspeed,1,2024-08-10
744821,571578,breaking,39,2024-08-05
744821,571578,fastball,47,2024-08-05
744821,571578,offspeed,4,2024-08-05
744821,573124,breaking,8,2024-08-05
744821,573124,fastball,5,2024-08-05
744821,606930,breaking,2,2024-08-05
744821,606930,fastball,11,2024-08-05
744821,643511,fastball,3,2024-08-05
744821,657277,breaking,12,2024-08-05
744821,657277,fastball,38,2024-08-05
744821,657277,offspeed,45,2024-08-05
744821,666808,breaking,8,2024-08-05
744821,666808,fastball,5,2024-08-05
744821,674285,breaking,10,2024-08-05
744821,674285,fastball,10,2024-08-05
744821,676254,breaking,10,2024-08-05
744821,676254,fastball,6,2024-08-05
744821,678606,breaking,2,2024-08-05
744821,678606,fastball,10,2024-08-05
744822,605483,breaking,34,2024-08-07
744822,605483,fastball,35,2024-08-07
744822,605483,offspeed,24,2024-08-07
744822,643511,breaking,3,2024-08-07
744822,643511,fastball,9,2024-08-07
744822,663432,breaking,4,2024-08-07
744822,663432,fastball,6,2024-08-07
744822,663623,breaking,26,2024-08-07
744822,663623,fastball,63,2024-08-07
744822,663623,offspeed,5,2024-08-07
744822,666808,breaking,12,2024-08-07
744822,666808,fastball,5,2024-08-07
744822,669062,breaking,2,2024-08-07
744822,669062,fastball,9,2024-08-07
744822,669062,offspeed,7,2024-08-07
744822,672851,breaking,2,2024-08-07
744822,672851,fastball,4,2024-08-07
744822,674285,breaking,6,2024-08-07
744822,674285,fastball,6,2024-08-07
