game_pk,pitcher,game_date,team,bf,k,bb,hbp,hr,hits,fb,bip,outs,runs,close_outs,pitches,is_starter
744808,686747,2024-08-31,WSH,1,0,0,0,0,1,0,1,1.0,0,1.0,4,False
744808,687792,2024-08-31,WSH,19,5,2,0,0,3,4,12,14.0,3,14.0,87,True
744808,687863,2024-08-31,CHC,5,2,1,0,0,1,0,2,3.0,0,3.0,17,False
744809,596133,2024-08-28,NYY,4,0,1,0,0,2,0,3,3.0,0,0.0,16,False
744809,606930,2024-08-28,WSH,3,1,1,0,0,0,0,1,3.0,0,0.0,14,False
744809,607074,2024-08-28,NYY,25,8,2,0,1,8,4,15,17.0,4,5.0,100,True
744809,640448,2024-08-28,WSH,5,1,1,0,0,1,0,3,3.0,0,0.0,22,False
744809,664776,2024-08-28,NYY,4,2,0,0,0,0,0,2,4.0,0,0.0,18,False
744809,669022,2024-08-28,WSH,26,6,1,1,1,6,4,18,18.0,2,6.0,102,True
744809,678606,2024-08-28,WSH,3,1,0,0,0,0,0,2,3.0,0,0.0,10,False
744810,592767,2024-08-30,CHC,3,1,1,0,0,1,0,1,1.0,2,0.0,11,False
744810,624522,2024-08-30,CHC,1,1,0,0,0,0,0,0,1.0,0,1.0,5,False
744810,663432,2024-08-30,WSH,3,2,0,0,0,0,1,1,3.0,0,0.0,11,False
744810,663623,2024-08-30,WSH,25,6,2,1,1,8,4,16,14.0,7,4.0,103,True
744810,663878,2024-08-30,CHC,6,2,0,0,0,1,0,4,6.0,0,0.0,17,False
744810,668338,2024-08-30,CHC,4,0,1,0,0,2,0,3,1.0,1,0.0,21,False
744810,674285,2024-08-30,WSH,3,1,1,0,0,0,1,1,3.0,0,0.0,11,False
744810,676395,2024-08-30,WSH,1,1,0,0,0,0,0,0,1.0,0,0.0,4,False
744810,684007,2024-08-30,CHC,23,8,1,0,1,4,7,14,18.0,3,3.0,96,True
744810,686747,2024-08-30,WSH,3,2,0,0,0,0,0,1,3.0,0,0.0,11,False
744810,687377,2024-08-30,WSH,4,1,0,0,0,1,2,3,3.0,0,0.0,18,False
744811,543037,2024-08-27,NYY,23,7,1,0,2,6,4,15,15.0,3,9.0,91,True
744811,571578,2024-08-27,WSH,22,6,2,0,0,2,1,14,18.0,0,12.0,104,True
744811,606930,2024-08-27,WSH,4,0,0,0,0,2,0,4,2.0,1,0.0,15,False
744811,640448,2024-08-27,WSH,7,0,0,0,0,3,2,7,4.0,1,2.0,30,False
744811,641360,2024-08-27,NYY,3,1,0,0,0,0,1,2,3.0,0,0.0,16,False
744811,641835,2024-08-27,NYY,5,1,0,0,0,1,0,4,3.0,1,0.0,15,False
744811,657612,2024-08-27,NYY,3,0,0,0,0,0,0,3,3.0,0,0.0,6,False
744811,674285,2024-08-27,WSH,3,1,1,0,0,1,0,1,1.0,0,0.0,9,False
744811,678606,2024-08-27,WSH,1,0,0,0,0,0,0,1,2.0,0,0.0,2,False
744812,663432,2024-08-21,WSH,4,0,0,0,0,1,1,4,3.0,0,0.0,15,False
744812,663562,2024-08-21,COL,10,0,1,0,0,3,4,8,6.0,1,0.0,27,False
744812,676105,2024-08-21,COL,4,0,0,0,0,1,0,4,3.0,0,0.0,14,False
744812,680730,2024-08-21,WSH,26,6,1,0,0,5,9,19,21.0,1,9.0,83,True
744812,683627,2024-08-21,COL,3,0,0,0,0,0,1,3,3.0,0,0.0,11,False
744812,685299,2024-08-21,COL,20,2,1,0,1,8,7,17,12.0,5,7.0,83,True
744812,686747,2024-08-21,WSH,3,1,0,0,0,0,1,2,3.0,0,0.0,20,False
744813,605280,2024-08-26,NYY,3,0,0,0,0,0,0,3,3.0,0,0.0,19,False
744813,641482,2024-08-26,NYY,26,5,2,0,1,4,8,18,20.0,1,15.0,91,True
744813,643410,2024-08-26,NYY,3,0,0,0,1,1,1,3,2.0,1,0.0,14,False
744813,663432,2024-08-26,WSH,5,0,0,0,1,2,4,5,3.0,1,3.0,10,False
744813,664776,2024-08-26,NYY,3,0,1,0,0,0,0,2,2.0,0,0.0,13,False
744813,678606,2024-08-26,WSH,4,1,0,0,0,1,0,3,4.0,0,0.0,17,False
744813,680730,2024-08-26,WSH,19,5,2,0,1,5,1,12,12.0,2,12.0,83,True
744813,686747,2024-08-26,WSH,12,1,1,0,1,4,5,10,8.0,2,0.0,40,False
744814,596295,2024-08-20,COL,26,5,2,0,1,3,6,19,21.0,1,21.0,96,True
744814,641755,2024-08-20,COL,4,1,0,0,0,1,1,3,3.0,0,3.0,17,False
744814,663432,2024-08-20,WSH,3,0,1,0,0,0,2,2,2.0,0,2.0,13,False
744814,674285,2024-08-20,WSH,2,1,0,0,0,0,0,1,1.0,1,0.0,9,False
