batter,p_throws,game_pk,game_date,woba_sum,woba_denom,iso_sum,iso_n,pa,k,bb,hard,bip
453568,L,746511,2024-08-30,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746512,2024-08-28,0.0,1.0,0.0,1,1,0,0,1,1
453568,L,746516,2024-08-18,0.0,1.0,0.0,1,1,0,0,1,1
453568,L,746517,2024-08-11,0.0,1.0,0.0,1,1,1,0,0,0
453568,L,746518,2024-08-16,0.9,1.0,0.0,1,1,0,0,0,1
453568,L,746524,2024-07-23,0.0,1.0,0.0,1,1,1,0,0,0
453568,L,746526,2024-07-22,0.0,2.0,0.0,2,2,1,0,0,1
453568,L,746527,2024-07-20,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746529,2024-07-06,1.25,1.0,1.0,1,1,0,0,1,1
453568,L,746530,2024-07-07,0.7,1.0,0.0,1,1,0,0,0,0
453568,L,746531,2024-07-19,1.4,3.0,0.0,3,3,0,2,0,1
453568,L,746532,2024-07-04,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746535,2024-07-01,0.0,2.0,0.0,2,2,0,0,1,2
453568,L,746537,2024-07-02,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746544,2024-06-05,2.15,2.0,1.0,2,2,0,0,1,2
453568,L,746546,2024-06-16,1.25,2.0,1.0,2,2,0,0,1,2
453568,L,746552,2024-05-28,0.9,1.0,0.0,1,1,0,0,0,1
453568,L,746553,2024-05-10,0.7,1.0,0.0,1,1,0,1,0,0
453568,L,746555,2024-05-12,0.7,1.0,0.0,1,1,0,1,0,0
453568,L,746562,2024-05-08,0.9,1.0,0.0,1,1,0,0,0,1
453568,L,746563,2024-05-09,0.9,1.0,0.0,1,1,0,0,0,1
453568,L,746566,2024-04-23,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746567,2024-04-24,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746568,2024-04-21,0.0,1.0,0.0,1,1,0,0,0,1
453568,L,746575,2024-04-06,0.0,3.0,0.0,3,3,0,0,1,3
453568,L,746692,2024-07-08,0.9,3.0,0.0,3,3,0,0,1,3
453568,L,746779,2024-06-30,0.0,3.0,0.0,3,3,2,0,1,1
453568,L,746899,2024-04-01,0.9,4.0,0.0,4,4,0,0,2,4
453568,L,746900,2024-04-03,0.0,1.0,0.0,1,1,0,0,1,1
453568,L,747073,2024-09-05,0.0,1.0,0.0,1,1,1,0,0,0
453568,L,747160,2024-08-13,0.0,3.0,0.0,3,3,0,0,0,3
453568,L,747221,2024-03-30,2.15,3.0,1.0,3,3,0,0,2,3
453568,L,747223,2024-03-29,1.6,1.0,2.0,1,1,0,0,1,1
453568,R,744814,2024-08-20,0.0,1.0,0.0,1,1,0,0,0,1
453568,R,744952,2024-04-14,0.0,3.0,0.0,3,3,1,0,1,2
453568,R,744953,2024-04-13,0.7,3.0,0.0,3,3,1,1,0,1
453568,R,745166,2024-06-08,4.65,4.0,1.0,5,5,0,1,2,4
453568,R,745167,2024-06-09,0.0,2.0,0.0,2,2,0,0,2,2
453568,R,745169,2024-06-07,0.9,3.0,0.0,3,3,2,0,0,1
453568,R,745174,2024-06-06,0.7,3.0,0.0,3,3,0,1,1,2
453568,R,745305,2024-07-28,0.9,3.0,0.0,3,3,1,0,1,2
453568,R,745310,2024-07-27,0.9,3.0,0.0,3,3,1,0,1,2
453568,R,745335,2024-05-17,2.3,5.0,0.0,5,5,0,1,1,3
453568,R,745336,2024-05-19,0.0,3.0,0.0,3,3,0,0,0,3
453568,R,745339,2024-05-18,0.0,1.0,0.0,1,1,1,0,0,0
453568,R,745387,2024-08-02,1.6,2.0,0.0,2,2,0,1,0,1
453568,R,745417,2024-05-15,0.9,5.0,0.0,5,5,0,0,0,5
453568,R,745418,2024-05-14,0.0,4.0,0.0,4,4,1,0,0,3
453568,R,745420,2024-05-13,0.9,3.0,0.0,3,3,0,0,1,3
453568,R,745510,2024-05-03,0.9,1.0,0.0,1,1,0,0,1,1
453568,R,745511,2024-05-04,0.0,3.0,0.0,3,3,0,0,0,3
453568,R,745591,2024-04-17,0.0,1.0,0.0,1,1,0,0,1,1
453568,R,745597,2024-04-15,0.0,3.0,0.0,3,3,0,0,1,3
453568,R,745660,2024-05-23,0.4,0.0,0.0,1,1,0,1,0,0
453568,R,745661,2024-05-22,0.9,4.0,0.0,4,4,0,0,1,4
453568,R,745662,2024-05-21,0.7,4.0,0.0,4,4,1,0,0,2
453568,R,745702,2024-08-23,0.0,1.0,0.0,1,1,0,0,0,1
453568,R,745703,2024-08-24,0.0,4.0,0.0,4,4,1,0,2,3
453568,R,745706,2024-08-25,1.4,4.0,0.0,4,4,1,2,0,1
453568,R,745797,2024-07-14,0.7,1.0,0.0,1,1,0,1,0,0
453568,R,745798,2024-07-13,2.0,4.0,3.0,4,4,2,0,1,2
453568,R,745800,2024-07-12,0.7,1.0,0.0,1,1,0,1,0,0
453568,R,745896,2024-06-12,0.0,4.0,0.0,4,4,2,0,0,2
453568,R,745897,2024-06-10,1.8,4.0,0.0,4,4,1,0,0,3
453568,R,745899,2024-06-11,0.0,3.0,0.0,3,3,0,0,1,3
453568,R,745940,2024-09-08,3.05,5.0,1.0,5,5,0,0,0,5
453568,R,745942,2024-09-07,0.9,3.0,0.0,3,3,1,0,1,2
453568,R,746070,2024-05-02,0.4,0.0,0.0,1,1,0,1,0,0
453568,R,746072,2024-05-01,0.0,4.0,0.0,4,4,1,0,1,3
453568,R,746073,2024-04-30,0.9,4.0,0.0,4,4,0,0,3,4
453568,R,746092,2024-09-22,1.4,5.0,0.0,5,5,1,2,1,2
453568,R,746094,2024-09-20,2.0,4.0,3.0,4,4,1,0,2,3
453568,R,746096,2024-09-21,3.95,5.0,4.0,5,5,1,1,2,3
453568,R,746138,2024-06-01,0.0,4.0,0.0,4,4,0,0,2,4
453568,R,746140,2024-05-31,0.9,3.0,0.0,3,3,1,0,0,2
453568,R,746141,2024-06-02,1.25,3.0,1.0,3,3,1,0,1,2
453568,R,746196,2024-08-01,0.7,5.0,0.0,5,5,1,1,0,3
453568,R,746197,2024-07-30,1.8,3.0,0.0,3,3,1,0,2,2
453568,R,746198,2024-07-31,0.9,4.0,0.0,4,4,0,0,1,4
453568,R,746425,2024-09-11,0.0,3.0,0.0,3,3,2,0,1,1
453568,R,746428,2024-09-10,0.0,3.0,0.0,3,3,0,0,0,3
453568,R,746494,2024-09-27,2.3,5.0,0.0,5,5,1,2,0,2
453568,R,746495,2024-09-26,3.5999999999999996,4.0,3.0,4,4,0,1,1,3
453568,R,746496,2024-09-29,0.9,1.0,0.0,1,1,0,0,1,1
453568,R,746499,2024-09-28,0.9,2.0,0.0,2,2,1,0,0,1
453568,R,746501,2024-09-25,1.8,4.0,0.0,4,4,0,0,2,4
453568,R,746502,2024-09-16,0.0,3.0,0.0,3,3,0,0,0,3
453568,R,746504,2024-09-24,2.3,3.0,2.0,3,3,0,0,2,2
453568,R,746506,2024-09-15,0.0,1.0,0.0,1,1,1,0,0,0
453568,R,746507,2024-08-31,0.0,3.0,0.0,3,3,1,0,1,2
453568,R,746508,2024-09-14,3.05,4.0,1.0,4,4,1,0,2,3
453568,R,746509,2024-09-13,1.6,5.0,0.0,5,5,1,1,1,3
453568,R,746510,2024-08-27,2.7,3.0,3.0,3,3,1,1,1,1
453568,R,746511,2024-08-30,0.9,3.0,0.0,3,3,0,0,1,3
453568,R,746512,2024-08-28,1.6,4.0,0.0,4,4,2,1,0,1
453568,R,746515,2024-08-17,0.9,4.0,0.0,4,4,1,0,0,3
453568,R,746516,2024-08-18,0.0,3.0,0.0,3,3,1,0,0,2
453568,R,746517,2024-08-11,2.7,4.0,0.0,4,4,0,0,0,4
453568,R,746518,2024-08-16,2.7,3.0,3.0,3,3,0,1,1,2
453568,R,746519,2024-08-06,0.9,4.0,0.0,4,4,0,0,0,4
453568,R,746521,2024-08-07,0.9,5.0,0.0,5,5,2,0,1,3
453568,R,746523,2024-08-09,1.8,5.0,0.0,5,5,2,0,0,3
453568,R,746524,2024-07-23,1.8,3.0,0.0,3,3,0,0,1,3
453568,R,746526,2024-07-22,3.6,5.0,3.0,5,5,1,1,1,3
453568,R,746527,2024-07-20,1.4,3.0,0.0,3,3,1,2,0,0
453568,R,746528,2024-07-21,0.0,4.0,0.0,4,4,1,0,0,3
453568,R,746529,2024-07-06,0.0,3.0,0.0,3,3,2,0,1,1
453568,R,746530,2024-07-07,0.0,3.0,0.0,3,3,2,0,0,1
453568,R,746531,2024-07-19,0.0,2.0,0.0,2,2,2,0,0,0
453568,R,746532,2024-07-04,2.15,3.0,1.0,3,3,0,0,0,3
453568,R,746534,2024-07-03,0.7,4.0,0.0,4,4,0,1,0,3
453568,R,746535,2024-07-01,2.9,3.0,3.0,3,3,0,0,1,3
453568,R,746542,2024-06-18,0.7,1.0,0.0,1,1,0,0,0,0
453568,R,746544,2024-06-05,0.9,2.0,0.0,3,3,0,0,0,3
453568,R,746545,2024-06-14,5.2,5.0,5.0,5,5,1,1,1,3
453568,R,746546,2024-06-16,0.0,2.0,0.0,2,2,1,0,0,1
453568,R,746547,2024-06-15,1.6,5.0,0.0,5,5,2,1,0,2
453568,R,746549,2024-05-27,4.5,4.0,5.0,4,4,0,0,2,4
453568,R,746550,2024-06-04,0.0,4.0,0.0,4,4,2,0,0,2
453568,R,746552,2024-05-28,0.9,4.0,0.0,4,4,0,0,1,4
453568,R,746553,2024-05-10,1.25,4.0,1.0,4,4,1,0,1,3
453568,R,746554,2024-05-11,1.25,1.0,1.0,1,1,0,0,0,1
