precision,recall,threshold
0.5059,0.4687,0.4459
0.5074,0.4687,0.4461
0.5059,0.4659,0.4462
0.5074,0.4659,0.4462
0.506,0.4632,0.4464
0.5045,0.4605,0.4464
0.506,0.4605,0.4465
0.5045,0.4578,0.4465
0.503,0.455,0.4465
0.5015,0.4523,0.4465
0.5,0.4496,0.4466
0.5015,0.4496,0.4468
0.503,0.4496,0.4469
0.5015,0.4469,0.4469
0.5,0.4441,0.4472
0.4985,0.4414,0.4473
0.5,0.4414,0.4474
0.5015,0.4414,0.4475
0.5031,0.4414,0.4475
0.5047,0.4414,0.4477
0.5031,0.4387,0.4478
0.5047,0.4387,0.4479
0.5031,0.436,0.448
0.5016,0.4332,0.4482
0.5,0.4305,0.4483
0.5016,0.4305,0.4483
0.5,0.4278,0.4484
0.5016,0.4278,0.4486
0.5,0.4251,0.4486
0.4984,0.4223,0.4486
0.5,0.4223,0.4487
0.5016,0.4223,0.4487
0.5,0.4196,0.4487
0.4984,0.4169,0.4489
0.4967,0.4142,0.4489
0.4984,0.4142,0.449
0.5,0.4142,0.449
0.4983,0.4114,0.449
0.5,0.4114,0.4491
0.4983,0.4087,0.4491
0.4967,0.406,0.4492
0.4983,0.406,0.4492
0.4966,0.4033,0.4493
0.4949,0.4005,0.4495
0.4932,0.3978,0.4496
0.4915,0.3951,0.4497
0.4898,0.3924,0.4498
0.4915,0.3924,0.4498
0.4932,0.3924,0.4501
0.4948,0.3924,0.4503
0.4966,0.3924,0.4503
0.4983,0.3924,0.4505
0.5,0.3924,0.4508
0.5017,0.3924,0.451
0.5,0.3896,0.4512
0.4982,0.3869,0.4513
0.5,0.3869,0.4513
0.4982,0.3842,0.4513
0.4965,0.3815,0.4514
0.4947,0.3787,0.4515
0.4964,0.3787,0.4516
0.4946,0.376,0.4517
0.4964,0.376,0.452
0.4946,0.3733,0.4521
0.4928,0.3706,0.4521
0.4909,0.3678,0.4521
0.4927,0.3678,0.4524
0.4908,0.3651,0.4525
0.489,0.3624,0.4525
0.4871,0.3597,0.4526
