feature,gain,gain_rank,permutation_importance,permutation_rank,mean_abs_shap,shap_rank,lofo_log_loss_delta,lofo_auc_delta,lofo_rank,mean_rank
away_fb_rate_x_wind_out,32.255070209503174,76,-7.703063426155455e-05,48,0.0016230111185393872,74,,,,66.0
away_lineup_hard_hit_vs_pitcher_hand,62.81869983673096,69,-5.47886224845473e-05,55,0.0014456208585525482,75,,,,66.33
home_xwoba_against,52.09562969207764,71,-1.3482741120118824e-06,79,0.0029930154567140792,58,,,,69.33
home_bullpen_fip_30d,51.35270023345947,73,3.675013776966995e-05,64,0.0017855932794017006,72,,,,69.67
home_is_lefty,11.7253999710083,81,-6.186365770673996e-05,53,0.0011361863694608074,76,,,,70.0
home_bullpen_hr_rate_season,71.71396923065186,64,-1.9001900742043886e-05,71,0.0011278295635392104,77,,,,70.67
home_bullpen_fip_season,47.117079973220825,74,3.405965264862143e-05,66,0.001630806629911285,73,,,,71.0
away_is_lefty,17.758570194244385,79,4.314292344800297e-05,61,0.0009174327502852158,78,,,,72.67
away_bullpen_availability_score,21.142939567565918,78,3.9573862491093514e-05,63,0.0007804216573373728,80,,,,73.67
home_L10_wr,24.39435052871704,77,3.977701608792739e-06,78,0.0008899233822909753,79,,,,78.0
home_bullpen_availability_score,5.110270023345947,82,2.018852411578287e-05,70,0.00022026627621220626,82,,,,78.0
away_days_rest,16.390530586242676,80,5.553364468924294e-06,76,0.000588423191530857,81,,,,79.0
is_dome,0.0,83,0.0,83,0.0,83,,,,83.0
is_coors,0.0,84,0.0,84,0.0,84,,,,84.0
home_bullpen_fatigue_score,0.0,85,0.0,85,0.0,85,,,,85.0
away_bullpen_fatigue_score,0.0,86,0.0,86,0.0,86,,,,86.0
