feature,importance_mean,importance_std
away_k_rate,1.0515487110862587e-05,0.0008436017453986576
away_days_rest,5.553364468924294e-06,3.489152546473599e-05
home_L10_wr,3.977701608792739e-06,2.9798878237230317e-05
is_dome,0.0,0.0
is_coors,0.0,0.0
home_bullpen_fatigue_score,0.0,0.0
away_bullpen_fatigue_score,0.0,0.0
away_bullpen_pitches_7d,-2.708956852504052e-07,5.3899830400931794e-05
home_bullpen_whip_season,-3.820505681595421e-07,0.00017512358165807458
away_xwoba_against,-7.96481612730382e-07,0.00011840754726105945
home_xwoba_against,-1.3482741120118824e-06,6.905815692266677e-05
home_bullpen_xfip_30d,-4.884140445449159e-06,0.00015118543013394194
wind_mph,-1.1874005697276591e-05,0.0001444471851080804
home_bullpen_hr_rate_season,-1.9001900742043886e-05,3.364871757657301e-05
away_bat_iso,-2.9400214313335392e-05,0.00012952313890020423
wind_out_factor,-3.0184014442913297e-05,0.00010250403603461155
home_fb_rate_x_wind_out,-3.5157033447974495e-05,0.00010122710324581528
away_bullpen_fip_30d,-4.248930571271181e-05,0.00022664421219819667
home_bullpen_era_30d,-4.331413202224299e-05,5.4184604452043155e-05
home_bullpen_pitches_7d,-4.6979066047092564e-05,6.462210945551553e-05
away_lineup_k_rate_vs_pitcher_hand,-5.052592149625834e-05,0.0001155078229829965
away_bullpen_whip_30d,-5.3426810360246435e-05,0.000204796697765256
away_lineup_hard_hit_vs_pitcher_hand,-5.47886224845473e-05,7.348170974404611e-05
park_factor,-5.636697702229299e-05,0.00016108775522430754
home_is_lefty,-6.186365770673996e-05,2.8575541012228486e-05
away_hr_rate,-7.159725979652976e-05,9.267684584594792e-05
home_bat_woba,-7.25750888351917e-05,0.00016355572415509455
away_fb_rate_x_wind_out,-7.703063426155455e-05,6.891751866714201e-05
home_lineup_strength_vs_pitcher_hand,-0.00010090988460050853,6.400553080884914e-05
home_hard_hit_pct,-0.0001033560120309196,8.790146144156554e-05
home_lineup_hard_hit_vs_pitcher_hand,-0.00011047336958253107,0.00016315309529812185
home_k_rate,-0.00011675507918912365,0.0001514228211489891
away_platoon_advantage_score,-0.00011719291151072176,0.0002463503618305367
away_bullpen_era_30d,-0.00011750946640242122,0.00012790155255009027
away_L10_wr,-0.00012709751612289822,4.429813740975005e-05
away_bat_hard_hit_pct,-0.00012920615598615014,0.0002944355428961788
home_days_rest,-0.00013787829233211646,9.031870995871147e-05
home_platoon_advantage_score,-0.00014638950654592974,8.59643871138513e-05
away_bb_rate,-0.0001505908842771464,0.0001815462206193249
home_bat_hard_hit_pct,-0.00016899573433792892,0.00014694843506247096
home_hr_rate,-0.00017669864189792106,0.00010888259029968761
home_fip,-0.00018173342611799148,9.823583832858245e-05
away_bullpen_xfip_30d,-0.00019471779399465872,0.00031900119739902987
home_bat_iso,-0.00020473424317845045,0.0003526017767126427
away_bat_woba,-0.0002487544363263927,0.0005159029072197153
away_bullpen_k_rate_season,-0.0003225214267659982,0.00012843373100854933
away_fb_velo,-0.00036669696639641814,0.00034920063440691505
away_lineup_strength_vs_pitcher_hand,-0.00042373415043875926,0.00019416889570087308
home_fb_velo,-0.0005097696383147166,0.0002662806280271785
away_lineup_woba_vs_pitcher_hand,-0.0008349864787479011,0.0004899524622209294
